云南 治愈 2人
山西 排除 疑似患者 1人
黑龙江 新增 疑似患者 94人
安徽 新增 感染患者 75人
新疆 新增 感染患者 97人
云南 新增 感染患者 63人
台湾 新增 疑似患者 21442人
江苏 新增 感染患者 80人
甘肃 新增 感染患者 43人
江西 新增 疑似患者 13人
黑龙江 新增 感染患者 30人
贵州 新增 感染患者 25人
台湾 新增 感染患者 4241人
香港 新增 感染患者 61人
河北 新增 感染患者 40人
青海 新增 感染患者 6人
江苏 新增 感染患者 50人
宁夏 新增 感染患者 91人
香港 排除 疑似患者 6人
香港 新增 感染患者 86人
湖南 疑似患者 流入 山西 5人
陕西 感染患者 流入 湖北 3人
新疆 新增 感染患者 2人
甘肃 新增 感染患者 67人
贵州 新增 疑似患者 13人
浙江 新增 疑似患者 46人
福建 新增 疑似患者 24人
台湾 新增 疑似患者 13412人
青海 新增 感染患者 69人
辽宁 新增 感染患者 0人
广东 新增 感染患者 64人
山东 新增 疑似患者 77人
上海 新增 疑似患者 24人
湖南 新增 感染患者 27人
山东 新增 感染患者 12人
四川 新增 疑似患者 0人
云南 死亡 1人
青海 新增 疑似患者 36人
黑龙江 新增 疑似患者 85人
湖南 新增 感染患者 98人
湖北 新增 感染患者 89人
云南 新增 疑似患者 70人
甘肃 新增 感染患者 90人
辽宁 新增 感染患者 88人
天津 疑似患者 确诊感染 4人
青海 新增 感染患者 31人
贵州 新增 感染患者 98人
浙江 新增 疑似患者 82人
云南 新增 疑似患者 43人
新疆 新增 感染患者 43人
西藏 新增 感染患者 13人
河北 新增 疑似患者 49人
湖北 新增 感染患者 68人
黑龙江 新增 感染患者 42人
江苏 新增 感染患者 19人
贵州 新增 疑似患者 72人
重庆 新增 疑似患者 51人
山西 新增 感染患者 6人
北京 新增 感染患者 57人
湖南 新增 疑似患者 38人
湖北 新增 疑似患者 85人
湖南 新增 感染患者 35人
河南 新增 感染患者 32人
广东 新增 疑似患者 51人
福建 新增 疑似患者 43人
北京 新增 疑似患者 68人
湖南 新增 疑似患者 56人
江苏 新增 感染患者 4人
北京 排除 疑似患者 2人
海南 新增 感染患者 6人
西藏 新增 感染患者 59人
广西 新增 疑似患者 7人
甘肃 新增 感染患者 80人
香港 新增 感染患者 0人
安徽 新增 感染患者 38人
河南 疑似患者 流入 四川 1人
安徽 新增 感染患者 92人
吉林 新增 感染患者 87人
海南 新增 感染患者 78人
贵州 新增 感染患者 95人
吉林 新增 疑似患者 5人
福建 新增 疑似患者 13人
宁夏 新增 疑似患者 35人
吉林 新增 感染患者 49人
江西 新增 感染患者 58人
辽宁 疑似患者 流入 广东 2人
西藏 新增 感染患者 86人
山西 新增 疑似患者 74人
重庆 感染患者 流入 山西 4人
海南 疑似患者 确诊感染 2人
贵州 新增 感染患者 10人
黑龙江 疑似患者 确诊感染 2人
重庆 新增 疑似患者 45人
辽宁 新增 感染患者 88人
江西 新增 疑似患者 99人
湖北 新增 疑似患者 34人
安徽 新增 疑似患者 72人
安徽 新增 疑似患者 61人
江苏 新增 疑似患者 95人
四川 新增 感染患者 93人
陕西 治愈 1人
云南 新增 感染患者 84人
西藏 新增 感染患者 29人
北京 新增 感染患者 39人
甘肃 感染患者 流入 甘肃 1人
广西 新增 疑似患者 8人
宁夏 新增 疑似患者 29人
香港 新增 疑似患者 33人
西藏 新增 感染患者 86人
江苏 疑似患者 流入 重庆 3人
西藏 新增 疑似患者 58人
辽宁 新增 疑似患者 12人
内蒙古 新增 感染患者 93人
江苏 新增 感染患者 59人
江苏 新增 疑似患者 96人
上海 疑似患者 确诊感染 9人
天津 新增 感染患者 54人
海南 新增 感染患者 87人
吉林 新增 疑似患者 42人
海南 新增 疑似患者 61人
河北 新增 疑似患者 56人
云南 新增 疑似患者 82人
山西 新增 感染患者 18人
贵州 新增 感染患者 88人
湖南 新增 感染患者 39人
海南 新增 疑似患者 5人
江西 新增 疑似患者 3人
陕西 新增 感染患者 69人
新疆 新增 疑似患者 53人
陕西 新增 感染患者 58人
浙江 新增 感染患者 96人
吉林 新增 感染患者 71人
青海 新增 感染患者 40人
宁夏 新增 感染患者 33人
河北 新增 感染患者 58人
云南 感染患者 流入 台湾 6人
天津 新增 感染患者 96人
河北 新增 感染患者 49人
宁夏 新增 疑似患者 79人
吉林 新增 疑似患者 23人
河南 新增 疑似患者 64人
四川 新增 感染患者 47人
湖北 新增 疑似患者 19人
陕西 治愈 6人
香港 新增 疑似患者 42人
贵州 新增 疑似患者 94人
香港 感染患者 流入 陕西 2人
香港 新增 感染患者 30人
辽宁 新增 疑似患者 50人
安徽 死亡 7人
北京 新增 感染患者 56人
新疆 新增 疑似患者 27人
安徽 治愈 4人
吉林 新增 感染患者 23人
福建 新增 感染患者 9人
陕西 治愈 3人
重庆 疑似患者 确诊感染 7人
湖北 新增 感染患者 37人
湖北 感染患者 流入 西藏 3人
青海 新增 疑似患者 35人
青海 新增 疑似患者 22人
内蒙古 新增 疑似患者 25人
海南 新增 感染患者 19人
江西 新增 感染患者 21人
青海 新增 疑似患者 18人
北京 新增 感染患者 69人
辽宁 新增 疑似患者 53人
上海 新增 疑似患者 17人
台湾 新增 感染患者 8891人
广东 新增 感染患者 88人
广西 新增 疑似患者 38人
陕西 感染患者 流入 四川 8人
北京 新增 感染患者 37人
山东 排除 疑似患者 6人
山东 死亡 3人
内蒙古 新增 感染患者 59人
湖南 新增 疑似患者 20人
贵州 新增 感染患者 76人
安徽 新增 感染患者 96人
四川 新增 疑似患者 10人
吉林 新增 疑似患者 52人
河南 疑似患者 流入 吉林 7人
河北 新增 感染患者 7人
四川 新增 疑似患者 78人
湖北 新增 感染患者 42人
湖南 新增 疑似患者 99人
青海 新增 感染患者 96人
吉林 新增 感染患者 27人
江苏 新增 疑似患者 30人
江苏 新增 感染患者 88人
香港 新增 感染患者 40人
安徽 新增 感染患者 32人
北京 新增 疑似患者 25人
甘肃 新增 感染患者 46人
内蒙古 新增 疑似患者 91人
广西 新增 感染患者 83人
四川 新增 感染患者 62人
内蒙古 新增 感染患者 86人
河北 新增 感染患者 5人
江西 新增 疑似患者 3人
青海 新增 疑似患者 65人
吉林 新增 疑似患者 87人
贵州 新增 感染患者 45人
四川 新增 感染患者 19人
西藏 新增 疑似患者 89人
辽宁 新增 感染患者 39人
湖南 新增 感染患者 30人
上海 新增 疑似患者 54人
重庆 新增 感染患者 91人
青海 排除 疑似患者 2人
海南 新增 感染患者 74人
宁夏 新增 感染患者 7人
重庆 新增 疑似患者 40人
陕西 新增 感染患者 10人
福建 死亡 4人
内蒙古 新增 疑似患者 20人
安徽 新增 疑似患者 94人
四川 感染患者 流入 内蒙古 5人
浙江 新增 疑似患者 81人
香港 新增 感染患者 32人
江西 新增 疑似患者 78人
湖南 新增 感染患者 10人
江西 新增 疑似患者 15人
重庆 疑似患者 确诊感染 4人
上海 新增 感染患者 2人
甘肃 新增 感染患者 26人
新疆 新增 感染患者 81人
湖南 新增 感染患者 99人
辽宁 新增 感染患者 98人
重庆 新增 感染患者 63人
上海 新增 疑似患者 6人
江苏 新增 疑似患者 88人
北京 疑似患者 确诊感染 2人
福建 新增 疑似患者 82人
甘肃 新增 疑似患者 83人
安徽 新增 感染患者 23人
辽宁 新增 感染患者 27人
辽宁 新增 疑似患者 9人
江西 新增 感染患者 21人
云南 新增 感染患者 95人
四川 死亡 3人
青海 新增 疑似患者 18人
青海 新增 感染患者 49人
