全国 感染患者2449548人 疑似患者2189570人 治愈11125人 死亡21484人
安徽 感染患者8917人 疑似患者9983人 治愈24人 死亡51人
北京 感染患者8285人 疑似患者6331人 治愈46人 死亡107人
重庆 感染患者9620人 疑似患者8212人 治愈85人 死亡64人
福建 感染患者9342人 疑似患者7235人 治愈40人 死亡100人
甘肃 感染患者8215人 疑似患者9947人 治愈41人 死亡44人
广东 感染患者9480人 疑似患者7815人 治愈69人 死亡87人
广西 感染患者11278人 疑似患者10098人 治愈92人 死亡58人
贵州 感染患者9508人 疑似患者6833人 治愈64人 死亡67人
海南 感染患者8357人 疑似患者10649人 治愈58人 死亡58人
河北 感染患者8547人 疑似患者7503人 治愈77人 死亡76人
河南 感染患者9390人 疑似患者8865人 治愈50人 死亡82人
黑龙江 感染患者10996人 疑似患者7929人 治愈64人 死亡51人
湖北 感染患者7831人 疑似患者8668人 治愈84人 死亡23人
湖南 感染患者12057人 疑似患者7857人 治愈55人 死亡60人
吉林 感染患者10320人 疑似患者8025人 治愈60人 死亡31人
江苏 感染患者9958人 疑似患者9435人 治愈48人 死亡37人
江西 感染患者9217人 疑似患者7540人 治愈60人 死亡74人
辽宁 感染患者8704人 疑似患者8235人 治愈88人 死亡56人
内蒙古 感染患者10796人 疑似患者9222人 治愈65人 死亡43人
宁夏 感染患者9181人 疑似患者8286人 治愈73人 死亡50人
青海 感染患者8361人 疑似患者8217人 治愈30人 死亡62人
山东 感染患者11098人 疑似患者9577人 治愈61人 死亡111人
山西 感染患者10491人 疑似患者7850人 治愈69人 死亡80人
陕西 感染患者8041人 疑似患者8078人 治愈91人 死亡100人
上海 感染患者8967人 疑似患者8387人 治愈66人 死亡65人
四川 感染患者9142人 疑似患者7042人 治愈41人 死亡82人
台湾 感染患者2146901人 疑似患者1923034人 治愈9161人 死亡19337人
天津 感染患者8491人 疑似患者9307人 治愈111人 死亡76人
西藏 感染患者9866人 疑似患者7720人 治愈69人 死亡70人
香港 感染患者8718人 疑似患者8851人 治愈33人 死亡68人
新疆 感染患者9103人 疑似患者6590人 治愈58人 死亡81人
云南 感染患者8674人 疑似患者8170人 治愈53人 死亡75人
浙江 感染患者11696人 疑似患者8079人 治愈39人 死亡58人
// 该文档并非真实数据，仅供测试使用
// 命令：node InfectStatistic list -log ../log/ -out ../result/output.txt -date 2020-01-20
