全国 感染患者149892人 疑似患者653576人 治愈36人 死亡349人
安徽 感染患者19人 疑似患者61人 治愈4人 死亡5人
北京 感染患者12714人 疑似患者13689人 治愈6人 死亡0人
重庆 感染患者21855人 疑似患者187人 治愈0人 死亡0人
福建 感染患者253人 疑似患者15837人 治愈0人 死亡0人
甘肃 感染患者337人 疑似患者295人 治愈6人 死亡0人
广东 感染患者145人 疑似患者263人 治愈0人 死亡0人
广西 感染患者237人 疑似患者56人 治愈2人 死亡0人
贵州 感染患者129人 疑似患者481人 治愈0人 死亡0人
海南 感染患者15320人 疑似患者169人 治愈0人 死亡0人
河北 感染患者96人 疑似患者253人 治愈4人 死亡0人
河南 感染患者145人 疑似患者91人 治愈6人 死亡0人
黑龙江 感染患者185人 疑似患者181人 治愈0人 死亡0人
湖北 感染患者-1000人 疑似患者218人 治愈2人 死亡0人
湖南 感染患者7356人 疑似患者119人 治愈0人 死亡0人
吉林 感染患者72人 疑似患者1613人 治愈0人 死亡0人
江苏 感染患者410人 疑似患者1人 治愈0人 死亡2人
江西 感染患者11人 疑似患者134人 治愈0人 死亡0人
辽宁 感染患者146人 疑似患者2014人 治愈0人 死亡169人
内蒙古 感染患者21967人 疑似患者87人 治愈0人 死亡0人
宁夏 感染患者174人 疑似患者8450人 治愈4人 死亡0人
青海 感染患者298人 疑似患者222人 治愈0人 死亡0人
山东 感染患者356人 疑似患者100人 治愈0人 死亡0人
山西 感染患者237人 疑似患者40人 治愈0人 死亡0人
陕西 感染患者185人 疑似患者132人 治愈0人 死亡0人
上海 感染患者166人 疑似患者14403人 治愈0人 死亡0人
四川 感染患者161人 疑似患者179人 治愈0人 死亡0人
台湾 感染患者38042人 疑似患者562910人 治愈0人 死亡0人
天津 感染患者-4人 疑似患者196人 治愈0人 死亡4人
西藏 感染患者12163人 疑似患者55人 治愈2人 死亡0人
香港 感染患者1224人 疑似患者15319人 治愈0人 死亡0人
新疆 感染患者14850人 疑似患者85人 治愈0人 死亡0人
云南 感染患者317人 疑似患者2853人 治愈0人 死亡0人
浙江 感染患者1326人 疑似患者12883人 治愈0人 死亡169人
// 该文档并非真实数据，仅供测试使用
// 命令：node InfectStatistic list -log ../log/ -out ../output.txt -date 2020-01-20
